,N,p,k,I,f,dt,T,om_max,life
53,5000,20,3.0,0.65,0.1,0.1,750.0,0.08,175.7066462948816
54,5000,20,3.0,0.65,0.1,0.1,775.0,0.08,181.2070282658518
55,5000,20,3.0,0.65,0.1,0.1,800.0,0.08,160.27501909854848
56,5000,20,3.0,0.65,0.1,0.1,825.0,0.0797872340425532,166.84491978609623
57,5000,20,3.0,0.65,0.1,0.1,850.0,0.08,168.67838044308633
58,5000,20,3.0,0.65,0.1,0.1,875.0,0.08,161.95569136745607
59,5000,20,3.0,0.65,0.1,0.1,900.0,0.08,168.3728036669213
60,5000,25,3.0,0.65,0.1,0.1,625.0,0.03474747474747475,14.973262032085561
61,5000,25,3.0,0.65,0.1,0.1,650.0,0.06383838383838385,205.8059587471352
62,5000,25,3.0,0.65,0.1,0.1,675.0,0.08,247.05882352941174
63,5000,25,3.0,0.65,0.1,0.1,700.0,0.08,269.5187165775401
64,5000,25,3.0,0.65,0.1,0.1,725.0,0.08,292.1313980137509
65,5000,25,3.0,0.65,0.1,0.1,750.0,0.08,306.7990832696715
66,5000,25,3.0,0.65,0.1,0.1,775.0,0.08,308.6325439266615
67,5000,25,3.0,0.65,0.1,0.1,800.0,0.08,285.56149732620315
68,5000,25,3.0,0.65,0.1,0.1,825.0,0.0797872340425532,279.90832696715046
69,5000,25,3.0,0.65,0.1,0.1,850.0,0.08,282.50572956455306
70,5000,25,3.0,0.65,0.1,0.1,875.0,0.08,279.6027501909855
71,5000,25,3.0,0.65,0.1,0.1,900.0,0.08,284.4919786096257
