,T,N,p,k,I,f,life_hi,life_lo,om_hi,om_lo,dt
642,800,500,25.0,3.5,1.0,0.1,55.27638190954775,55.27638190954775,0.05333333333333334,0.05333333333333334,0.5
643,800,500,25.0,3.5,1.0,0.1,90.4522613065327,90.4522613065327,0.08,0.08,0.5
644,800,500,25.0,3.5,1.0,0.1,37.6884422110553,37.6884422110553,0.05333333333333334,0.05333333333333334,0.5
645,800,500,25.0,3.5,1.0,0.1,2.5125628140703498,2.5125628140703498,0.05333333333333334,0.05333333333333334,0.5
646,800,500,25.0,3.5,1.0,0.1,62.8140703517588,62.8140703517588,0.05333333333333334,0.05333333333333334,0.5
647,800,500,25.0,3.5,1.0,0.1,57.7889447236181,55.27638190954775,0.05333333333333334,0.05333333333333334,0.5
648,800,500,25.0,3.5,1.0,0.1,57.7889447236181,55.27638190954775,0.05333333333333334,0.05333333333333334,0.5
649,800,500,10.0,1.5,0.5,0.1,0.0,0.0,0.05333333333333334,0.05333333333333334,0.5
650,800,500,10.0,1.5,0.5,0.1,0.0,0.0,0.0,0.0,0.5
651,800,500,10.0,1.5,0.5,0.1,0.0,0.0,0.0,0.0,0.5
652,800,500,10.0,1.5,0.5,0.1,0.0,0.0,0.0,0.0,0.5
653,800,500,10.0,1.5,0.5,0.1,12.562814070351749,12.562814070351749,0.05333333333333334,0.05333333333333334,0.5
654,800,500,10.0,1.5,0.5,0.1,0.0,0.0,0.02666666666666667,0.02666666666666667,0.5
655,800,500,10.0,1.5,0.5,0.1,0.0,0.0,0.0,0.0,0.5
656,800,500,10.0,1.5,0.5,0.1,153.2663316582915,153.2663316582915,0.02666666666666667,0.02666666666666667,0.5
657,800,500,10.0,1.5,0.5,0.1,5.0251256281406995,5.0251256281406995,0.08,0.08,0.5
658,800,500,10.0,1.5,0.5,0.1,0.0,0.0,0.0,0.0,0.5
659,800,500,10.0,1.5,0.5,0.1,0.0,0.0,0.0,0.0,0.5
