,N,p,k,I,f,om_max,life,dt
80,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,45.45454545454544,0.1
81,1000,15.0,3.0,0.6749999999999999,0.1,0.08,10.101010101010104,0.1
82,1000,15.0,3.0,0.6749999999999999,0.1,0.08,45.45454545454544,0.1
83,1000,15.0,3.0,0.6749999999999999,0.1,0.08,65.65656565656565,0.1
84,1000,15.0,3.0,0.6749999999999999,0.1,0.08,30.30303030303031,0.1
85,1000,15.0,3.0,0.6749999999999999,0.1,0.08,101.01010101010104,0.1
86,1000,15.0,3.0,0.6749999999999999,0.1,0.08,111.11111111111109,0.1
87,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,50.50505050505052,0.1
88,1000,15.0,3.0,0.6749999999999999,0.1,0.08,80.80808080808083,0.1
89,1000,15.0,3.0,0.6749999999999999,0.1,0.08,70.70707070707067,0.1
90,1000,15.0,3.0,0.6749999999999999,0.1,0.08,156.56565656565658,0.1
91,1000,15.0,3.0,0.6749999999999999,0.1,0.08,101.01010101010104,0.1
92,1000,15.0,3.0,0.6749999999999999,0.1,0.08,85.85858585858585,0.1
93,1000,15.0,3.0,0.6749999999999999,0.1,0.08,136.36363636363637,0.1
94,1000,15.0,3.0,0.6749999999999999,0.1,0.08,85.85858585858585,0.1
95,1000,15.0,3.0,0.6749999999999999,0.1,0.08,55.55555555555554,0.1
96,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,60.60606060606062,0.1
97,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,70.70707070707067,0.1
98,1000,15.0,3.0,0.6749999999999999,0.1,0.08,55.55555555555554,0.1
99,1000,15.0,3.0,0.6749999999999999,0.1,0.02666666666666667,5.050505050505052,0.1
100,1000,15.0,3.0,0.6749999999999999,0.1,0.08,70.70707070707067,0.1
101,1000,15.0,3.0,0.6749999999999999,0.1,0.08,156.56565656565658,0.1
102,1000,15.0,3.0,0.6749999999999999,0.1,0.08,106.06060606060606,0.1
103,1000,15.0,3.0,0.6749999999999999,0.1,0.08,136.36363636363637,0.1
104,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,65.65656565656565,0.1
105,1000,15.0,3.0,0.6749999999999999,0.1,0.08,85.85858585858585,0.1
106,1000,15.0,3.0,0.6749999999999999,0.1,0.08,55.55555555555554,0.1
107,1000,15.0,3.0,0.6749999999999999,0.1,0.08,151.5151515151515,0.1
108,1000,15.0,3.0,0.6749999999999999,0.1,0.08,101.01010101010104,0.1
109,1000,15.0,3.0,0.6749999999999999,0.1,0.08,40.404040404040416,0.1
110,1000,15.0,3.0,0.6749999999999999,0.1,0.08,90.90909090909088,0.1
111,1000,15.0,3.0,0.6749999999999999,0.1,0.08,85.85858585858585,0.1
112,1000,15.0,3.0,0.6749999999999999,0.1,0.08,25.25252525252526,0.1
113,1000,15.0,3.0,0.6749999999999999,0.1,0.08,15.151515151515156,0.1
114,1000,15.0,3.0,0.6749999999999999,0.1,0.08,5.050505050505052,0.1
115,1000,15.0,3.0,0.6749999999999999,0.1,0.08,35.353535353535335,0.1
116,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,45.45454545454544,0.1
117,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,50.50505050505052,0.1
118,1000,15.0,3.0,0.6749999999999999,0.1,0.08,50.50505050505052,0.1
119,1000,15.0,3.0,0.6749999999999999,0.1,0.08,176.7676767676768,0.1
120,1000,15.0,3.0,0.6749999999999999,0.1,0.08,95.95959595959596,0.1
121,1000,15.0,3.0,0.6749999999999999,0.1,0.08,60.60606060606062,0.1
122,1000,15.0,3.0,0.6749999999999999,0.1,0.08,196.969696969697,0.1
123,1000,15.0,3.0,0.6749999999999999,0.1,0.08,65.65656565656565,0.1
124,1000,15.0,3.0,0.6749999999999999,0.1,0.08,121.21212121212119,0.1
125,1000,15.0,3.0,0.6749999999999999,0.1,0.08,65.65656565656565,0.1
126,1000,15.0,3.0,0.6749999999999999,0.1,0.08,146.46464646464642,0.1
127,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,30.30303030303031,0.1
128,1000,15.0,3.0,0.6749999999999999,0.1,0.08,70.70707070707067,0.1
129,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,20.202020202020208,0.1
130,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,15.151515151515156,0.1
131,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,55.55555555555554,0.1
132,1000,15.0,3.0,0.6749999999999999,0.1,0.08,50.50505050505052,0.1
133,1000,15.0,3.0,0.6749999999999999,0.1,0.08,116.16161616161617,0.1
134,1000,15.0,3.0,0.6749999999999999,0.1,0.08,111.11111111111109,0.1
135,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,35.353535353535335,0.1
136,1000,15.0,3.0,0.6749999999999999,0.1,0.08,40.404040404040416,0.1
137,1000,15.0,3.0,0.6749999999999999,0.1,0.08,35.353535353535335,0.1
138,1000,15.0,3.0,0.6749999999999999,0.1,0.08,70.70707070707067,0.1
139,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,50.50505050505052,0.1
140,1000,15.0,3.0,0.6749999999999999,0.1,0.08,55.55555555555554,0.1
141,1000,15.0,3.0,0.6749999999999999,0.1,0.08,65.65656565656565,0.1
142,1000,15.0,3.0,0.6749999999999999,0.1,0.02666666666666667,0.0,0.1
143,1000,15.0,3.0,0.6749999999999999,0.1,0.08,80.80808080808083,0.1
144,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,20.202020202020208,0.1
145,1000,15.0,3.0,0.6749999999999999,0.1,0.08,60.60606060606062,0.1
146,1000,15.0,3.0,0.6749999999999999,0.1,0.08,101.01010101010104,0.1
147,1000,15.0,3.0,0.6749999999999999,0.1,0.08,55.55555555555554,0.1
148,1000,15.0,3.0,0.6749999999999999,0.1,0.08,176.7676767676768,0.1
149,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,55.55555555555554,0.1
150,1000,15.0,3.0,0.6749999999999999,0.1,0.08,111.11111111111109,0.1
151,1000,15.0,3.0,0.6749999999999999,0.1,0.08,101.01010101010104,0.1
152,1000,15.0,3.0,0.6749999999999999,0.1,0.08,0.0,0.1
153,1000,15.0,3.0,0.6749999999999999,0.1,0.08,85.85858585858585,0.1
154,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,50.50505050505052,0.1
155,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,10.101010101010104,0.1
156,1000,15.0,3.0,0.6749999999999999,0.1,0.08,151.5151515151515,0.1
157,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,40.404040404040416,0.1
158,1000,15.0,3.0,0.6749999999999999,0.1,0.08,45.45454545454544,0.1
159,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,55.55555555555554,0.1
160,1000,15.0,3.0,0.6749999999999999,0.1,0.08,171.7171717171717,0.1
161,1000,15.0,3.0,0.6749999999999999,0.1,0.02666666666666667,15.151515151515156,0.1
162,1000,15.0,3.0,0.6749999999999999,0.1,0.08,101.01010101010104,0.1
163,1000,15.0,3.0,0.6749999999999999,0.1,0.08,65.65656565656565,0.1
164,1000,15.0,3.0,0.6749999999999999,0.1,0.08,60.60606060606062,0.1
165,1000,15.0,3.0,0.6749999999999999,0.1,0.08,121.21212121212119,0.1
166,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,25.25252525252526,0.1
167,1000,15.0,3.0,0.6749999999999999,0.1,0.08,35.353535353535335,0.1
168,1000,15.0,3.0,0.6749999999999999,0.1,0.08,121.21212121212119,0.1
169,1000,15.0,3.0,0.6749999999999999,0.1,0.08,111.11111111111109,0.1
170,1000,15.0,3.0,0.6749999999999999,0.1,0.08,65.65656565656565,0.1
171,1000,15.0,3.0,0.6749999999999999,0.1,0.08,45.45454545454544,0.1
172,1000,15.0,3.0,0.6749999999999999,0.1,0.08,10.101010101010104,0.1
173,1000,15.0,3.0,0.6749999999999999,0.1,0.08,151.5151515151515,0.1
174,1000,15.0,3.0,0.6749999999999999,0.1,0.08,60.60606060606062,0.1
175,1000,15.0,3.0,0.6749999999999999,0.1,0.08,65.65656565656565,0.1
176,1000,15.0,3.0,0.6749999999999999,0.1,0.08,55.55555555555554,0.1
177,1000,15.0,3.0,0.6749999999999999,0.1,0.05333333333333334,10.101010101010104,0.1
